Feature,Weight
sidewalk_width,0.060
pedestrian_density,0.072 
street_furniture_density,0.056
sidewalk_roughness,0.039
surface_condition,0.054
communication_infrastructure,0.035
slope_gradient,0.042
charging_station_proximity,0.018
local_attitudes,0.042
curb_ramp_availability,0.052
weather_conditions,0.059
crowd_dynamics,0.070
traffic_management,0.038
surveillance_coverage,0.016
zoning_laws,0.036
bike_lane_availability,0.021
street_lighting,0.022
shade_availability,0.011
gps_signal_strength,0.031
pedestrian_flow,0.069
bicycle_traffic,0.027
vehicle_traffic,0.039
digital_map_existence,0.034
intersection_safety,0.058
