Feature,Weight
sidewalk_width,0.039
pedestrian_density,0.055
street_furniture_density,0.072
sidewalk_roughness,0.016
surface_condition,0.088
communication_infrastructure,0.061
slope_gradient,0.020
charging_station_proximity,0.046
local_attitudes,0.041
curb_ramp_availability,0.033
weather_conditions,0.049
crowd_dynamics,0.067
traffic_management,0.069
surveillance_coverage,0.057
zoning_laws,0.015
bike_lane_availability,0.018
street_lighting,0.038
shade_availability,0.000
gps_signal_strength,0.030
pedestrian_flow,0.027
bicycle_traffic,0.005
vehicle_traffic,0.027
digital_map_existence,0.057
intersection_safety,0.070
