Feature,Weight
sidewalk_width,0.049
pedestrian_density,0.130
street_furniture_density,0.047
sidewalk_roughness,0.039
surface_condition,0.013
communication_infrastructure,0.071
slope_gradient,0.015
charging_station_proximity,0.000
local_attitudes,0.043
curb_ramp_availability,0.045
weather_conditions,0.022
crowd_dynamics,0.051
traffic_management,0.016
surveillance_coverage,0.017
zoning_laws,0.055
bike_lane_availability,0.029
street_lighting,0.017
shade_availability,0.000
gps_signal_strength,0.052
pedestrian_flow,0.133
bicycle_traffic,0.023
vehicle_traffic,0.037
digital_map_existence,0.042
intersection_safety,0.054
